,站点,编号,Lng,Lat,lambda,站点_,out_lambda
101,武定门,102,118.789483131881,32.0157949256094,100.75555555555556,武定门,96.38888888888889
102,雨花门,103,118.78715823142,32.0059935831578,44.45555555555555,雨花门,42.92222222222221
103,卡子门,104,118.790344637215,31.9970129088154,67.96111111111112,卡子门,68.71111111111112
104,大明路,105,118.795004131658,31.9880056240392,57.75555555555555,大明路,49.777777777777786
105,明发广场,106,118.795375524747,31.9792259818874,36.888888888888886,明发广场,38.47222222222221
106,宏运大道,107,118.798602290907,31.9615335450654,13.972222222222223,宏运大道,13.03888888888889
107,胜太西路,108,118.802336306116,31.9458677920171,99.58888888888887,胜太西路,98.01666666666668
108,天元西路,109,118.803449363236,31.9301899998622,42.8,天元西路,40.77777777777778
109,九龙湖,110,118.816017722309,31.9179888896168,31.22222222222222,九龙湖,32.46111111111112
110,诚信大道,111,118.824887630944,31.9100098930936,50.37222222222223,诚信大道,50.03333333333333
111,东大九龙湖校区,112,118.825453490664,31.8981709246118,24.39444444444444,东大九龙湖校区,25.277777777777786
112,秣周东路,113,118.826199450008,31.8711064278759,64.3111111111111,秣周东路,65.33888888888889
113,龙江,114,118.732413218273,32.0599644534545,124.87777777777777,龙江,123.86666666666665
114,南艺二师草场门,115,118.7502,32.062289,41.58888888888889,南艺二师草场门,41.89444444444445
115,云南路,116,118.769458876476,32.0611463898755,66.35555555555555,云南路,69.09444444444445
116,九华山,117,118.800747730693,32.0594338859387,21.42777777777778,九华山,21.02777777777778
117,岗子村,118,118.810866262982,32.0675134908483,37.67777777777778,岗子村,36.00555555555556
118,蒋王庙,119,118.826003645814,32.0797096534962,34.538888888888884,蒋王庙,35.1
119,王家湾,120,118.832864127756,32.0874008800044,25.23888888888889,王家湾,24.23333333333333
120,聚宝山,121,118.859306996426,32.0959903935754,36.66666666666666,聚宝山,33.56666666666667
121,苏宁总部徐庄,122,118.883311,32.08745,74.74444444444445,苏宁总部徐庄,80.67777777777776
122,汇通路,123,118.926152703913,32.0802293339819,2.988888888888889,汇通路,3.111111111111111
123,灵山,124,118.938844827269,32.0797823278316,8.744444444444445,灵山,8.644444444444444
124,东流,125,118.95923309864,32.0793304059977,4.644444444444445,东流,4.711111111111111
125,孟北,126,118.982226331764,32.0864026974997,3.4111111111111114,孟北,3.2944444444444447
126,西岗桦墅,127,118.991394685817,32.1009254411323,5.505555555555556,西岗桦墅,6.044444444444445
127,仙林湖,128,118.987550286321,32.1275895558851,16.650000000000002,仙林湖,16.06111111111111
